level_0,index,ts,T,H,PMS1,PMS2_5,PMS10,CO2,NO2,CO,VoC,C2H5OH,ID,Loc,Customer,Ph,Valid,Valid_CO2,bkps
2167,2167,2023-06-22 00:36:07,0.4583,0.6917,0.1667,0.2667,0.3,15.7833,7.1667,2.3,9.1333,10.9167,121.0,Study Desk,A5,XXXX,1,1,0
2168,2168,2023-06-22 00:36:08,0.9167,1.3833,0.3333,0.5333,0.6,31.5667,14.3333,4.6,18.2667,21.8333,121.0,Study Desk,A5,XXXX,1,1,0
2169,2169,2023-06-22 00:36:09,1.375,2.075,0.5,0.8,0.9,47.35,21.5,6.9,27.4,32.75,121.0,Study Desk,A5,XXXX,1,1,0
2170,2170,2023-06-22 00:36:10,1.8333,2.7667,0.6667,1.0667,1.2,63.1333,28.6667,9.2,36.5333,43.6667,121.0,Study Desk,A5,XXXX,1,1,0
2171,2171,2023-06-22 00:36:11,2.2917,3.4583,0.8333,1.3333,1.5,78.9167,35.8333,11.5,45.6667,54.5833,121.0,Study Desk,A5,XXXX,1,1,0
2172,2172,2023-06-22 00:36:12,2.75,4.15,1.0,1.6,1.8,94.7,43.0,13.8,54.8,65.5,121.0,Study Desk,A5,XXXX,1,1,0
2173,2173,2023-06-22 00:36:13,3.2083,4.8417,1.1667,1.8667,2.1,110.4833,50.1667,16.1,63.9333,76.4167,121.0,Study Desk,A5,XXXX,1,1,0
2174,2174,2023-06-22 00:36:14,3.6667,5.5333,1.3333,2.1333,2.4,126.2667,57.3333,18.4,73.0667,87.3333,121.0,Study Desk,A5,XXXX,1,1,0
2175,2175,2023-06-22 00:36:15,4.125,6.225,1.5,2.4,2.7,142.05,64.5,20.7,82.2,98.25,121.0,Study Desk,A5,XXXX,1,1,0
2176,2176,2023-06-22 00:36:16,4.5833,6.9167,1.6667,2.6667,3.0,157.8333,71.6667,23.0,91.3333,109.1667,121.0,Study Desk,A5,XXXX,1,1,0
2177,2177,2023-06-22 00:36:17,5.0417,7.6083,1.8333,2.9333,3.3,173.6167,78.8333,25.3,100.4667,120.0833,121.0,Study Desk,A5,XXXX,1,1,0
2178,2178,2023-06-22 00:36:18,5.5,8.3,2.0,3.2,3.6,189.4,86.0,27.6,109.6,131.0,121.0,Study Desk,A5,XXXX,1,1,0
2179,2179,2023-06-22 00:36:19,5.9583,8.9917,2.1667,3.4667,3.9,205.1833,93.1667,29.9,118.7333,141.9167,121.0,Study Desk,A5,XXXX,1,1,0
2180,2180,2023-06-22 00:36:20,6.4167,9.6833,2.3333,3.7333,4.2,220.9667,100.3333,32.2,127.8667,152.8333,121.0,Study Desk,A5,XXXX,1,1,0
2181,2181,2023-06-22 00:36:21,6.875,10.375,2.5,4.0,4.5,236.75,107.5,34.5,137.0,163.75,121.0,Study Desk,A5,XXXX,1,1,0
2182,2182,2023-06-22 00:36:22,7.3333,11.0667,2.6667,4.2667,4.8,252.5333,114.6667,36.8,146.1333,174.6667,121.0,Study Desk,A5,XXXX,1,1,0
2183,2183,2023-06-22 00:36:23,7.7917,11.7583,2.8333,4.5333,5.1,268.3167,121.8333,39.1,155.2667,185.5833,121.0,Study Desk,A5,XXXX,1,1,0
2184,2184,2023-06-22 00:36:24,8.25,12.45,3.0,4.8,5.4,284.1,129.0,41.4,164.4,196.5,121.0,Study Desk,A5,XXXX,1,1,0
2185,2185,2023-06-22 00:36:25,8.7083,13.1417,3.1667,5.0667,5.7,299.8833,136.1667,43.7,173.5333,207.4167,121.0,Study Desk,A5,XXXX,1,1,0
2186,2186,2023-06-22 00:36:26,9.1667,13.8333,3.3333,5.3333,6.0,315.6667,143.3333,46.0,182.6667,218.3333,121.0,Study Desk,A5,XXXX,1,1,0
